股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,balance_yearly,短期借款,2019-12-31 00:00:00,61092933.19
688596,正帆科技,balance_yearly,应付票据及应付账款,2019-12-31 00:00:00,361850119.24
688596,正帆科技,balance_yearly,应付账款,2019-12-31 00:00:00,361850119.24
688596,正帆科技,balance_yearly,应付职工薪酬,2019-12-31 00:00:00,31517185.2
688596,正帆科技,balance_yearly,应付税费,2019-12-31 00:00:00,22172368.51
688596,正帆科技,balance_yearly,其他应付款,2019-12-31 00:00:00,13800708.3
688596,正帆科技,balance_yearly,流动负债,2019-12-31 00:00:00,930250967.4
688596,正帆科技,balance_yearly,长期借款,2019-12-31 00:00:00,83500000.0
688596,正帆科技,balance_yearly,总负债,2019-12-31 00:00:00,1026547886.36
688596,正帆科技,balance_yearly,实收资本,2019-12-31 00:00:00,192264553.0
688596,正帆科技,balance_yearly,合同负债,2020-12-31 00:00:00,536990121.8
688596,正帆科技,balance_yearly,应收票据及应收账款,2020-12-31 00:00:00,484071630.85
688596,正帆科技,balance_yearly,应收账款,2020-12-31 00:00:00,329628447.8
688596,正帆科技,balance_yearly,应收票据,2020-12-31 00:00:00,154443183.05
688596,正帆科技,balance_yearly,预付账款,2020-12-31 00:00:00,51467588.45
688596,正帆科技,balance_yearly,存货,2020-12-31 00:00:00,638849877.45
688596,正帆科技,balance_yearly,其他应收款,2020-12-31 00:00:00,16572591.16
688596,正帆科技,balance_yearly,流动资产,2020-12-31 00:00:00,2336855300.68
688596,正帆科技,balance_yearly,固定资产,2020-12-31 00:00:00,333319272.82
688596,正帆科技,balance_yearly,无形资产,2020-12-31 00:00:00,34321373.0
688596,正帆科技,balance_yearly,长期待摊费用,2020-12-31 00:00:00,1115742.54
688596,正帆科技,balance_yearly,总资产,2020-12-31 00:00:00,2826014927.27
688596,正帆科技,balance_yearly,应付票据及应付账款,2020-12-31 00:00:00,483912830.52
688596,正帆科技,balance_yearly,应付账款,2020-12-31 00:00:00,469162274.99
688596,正帆科技,balance_yearly,应付票据,2020-12-31 00:00:00,14750555.53
688596,正帆科技,balance_yearly,应付职工薪酬,2020-12-31 00:00:00,37307239.43
688596,正帆科技,balance_yearly,应付税费,2020-12-31 00:00:00,19785141.9
688596,正帆科技,balance_yearly,其他应付款,2020-12-31 00:00:00,9796308.57
688596,正帆科技,balance_yearly,流动负债,2020-12-31 00:00:00,1102540223.5
688596,正帆科技,balance_yearly,总负债,2020-12-31 00:00:00,1121224668.43
688596,正帆科技,balance_yearly,实收资本,2020-12-31 00:00:00,256500000.0
688596,正帆科技,balance_yearly,合同负债,2021-12-31 00:00:00,721238442.77
688596,正帆科技,balance_yearly,应收票据及应收账款,2021-12-31 00:00:00,635256607.57
688596,正帆科技,balance_yearly,应收账款,2021-12-31 00:00:00,498217301.64
688596,正帆科技,balance_yearly,应收票据,2021-12-31 00:00:00,137039305.93
688596,正帆科技,balance_yearly,预付账款,2021-12-31 00:00:00,90491343.43
688596,正帆科技,balance_yearly,存货,2021-12-31 00:00:00,1062061920.0
688596,正帆科技,balance_yearly,其他应收款,2021-12-31 00:00:00,22890442.29
688596,正帆科技,balance_yearly,流动资产,2021-12-31 00:00:00,2698048153.03
688596,正帆科技,balance_yearly,固定资产,2021-12-31 00:00:00,330797275.83
688596,正帆科技,balance_yearly,无形资产,2021-12-31 00:00:00,71071153.05
688596,正帆科技,balance_yearly,长期待摊费用,2021-12-31 00:00:00,5852019.95
688596,正帆科技,balance_yearly,总资产,2021-12-31 00:00:00,3507658393.5
688596,正帆科技,balance_yearly,短期借款,2021-12-31 00:00:00,80083083.32
688596,正帆科技,balance_yearly,应付票据及应付账款,2021-12-31 00:00:00,654202779.57
688596,正帆科技,balance_yearly,应付账款,2021-12-31 00:00:00,640641133.38
688596,正帆科技,balance_yearly,应付票据,2021-12-31 00:00:00,13561646.19
688596,正帆科技,balance_yearly,应付职工薪酬,2021-12-31 00:00:00,58788039.41
688596,正帆科技,balance_yearly,应付税费,2021-12-31 00:00:00,11278470.49
688596,正帆科技,balance_yearly,其他应付款,2021-12-31 00:00:00,7051444.73
688596,正帆科技,balance_yearly,流动负债,2021-12-31 00:00:00,1567824406.81
688596,正帆科技,balance_yearly,租赁负债,2021-12-31 00:00:00,51304510.19
688596,正帆科技,balance_yearly,总负债,2021-12-31 00:00:00,1640529316.29
688596,正帆科技,balance_yearly,实收资本,2021-12-31 00:00:00,256500000.0
688596,正帆科技,balance_yearly,少数股东权益,2021-12-31 00:00:00,2728830.35
688596,正帆科技,balance_yearly,合同负债,2022-12-31 00:00:00,1111451343.24
688596,正帆科技,balance_yearly,应收票据及应收账款,2022-12-31 00:00:00,1046643720.43
688596,正帆科技,balance_yearly,应收账款,2022-12-31 00:00:00,821384591.04
688596,正帆科技,balance_yearly,应收票据,2022-12-31 00:00:00,225259129.39
688596,正帆科技,balance_yearly,预付账款,2022-12-31 00:00:00,140870944.86
688596,正帆科技,balance_yearly,存货,2022-12-31 00:00:00,1983413951.44
688596,正帆科技,balance_yearly,其他应收款,2022-12-31 00:00:00,27111508.76
688596,正帆科技,balance_yearly,流动资产,2022-12-31 00:00:00,4747144536.43
688596,正帆科技,balance_yearly,固定资产,2022-12-31 00:00:00,523882477.0
688596,正帆科技,balance_yearly,无形资产,2022-12-31 00:00:00,148863018.12
688596,正帆科技,balance_yearly,长期待摊费用,2022-12-31 00:00:00,65188676.57
688596,正帆科技,balance_yearly,总资产,2022-12-31 00:00:00,5964323838.69
688596,正帆科技,balance_yearly,短期借款,2022-12-31 00:00:00,932203393.69
688596,正帆科技,balance_yearly,应付票据及应付账款,2022-12-31 00:00:00,1168600570.16
688596,正帆科技,balance_yearly,应付账款,2022-12-31 00:00:00,1051783584.76
688596,正帆科技,balance_yearly,应付票据,2022-12-31 00:00:00,116816985.4
688596,正帆科技,balance_yearly,应付职工薪酬,2022-12-31 00:00:00,76401613.9
688596,正帆科技,balance_yearly,应付税费,2022-12-31 00:00:00,26128910.15
688596,正帆科技,balance_yearly,其他应付款,2022-12-31 00:00:00,70857897.01
688596,正帆科技,balance_yearly,流动负债,2022-12-31 00:00:00,3423302252.11
688596,正帆科技,balance_yearly,租赁负债,2022-12-31 00:00:00,51382918.98
688596,正帆科技,balance_yearly,长期借款,2022-12-31 00:00:00,40054666.67
688596,正帆科技,balance_yearly,总负债,2022-12-31 00:00:00,3550812001.94
688596,正帆科技,balance_yearly,实收资本,2022-12-31 00:00:00,273710606.0
688596,正帆科技,balance_yearly,少数股东权益,2022-12-31 00:00:00,5236148.34
688596,正帆科技,balance_yearly,合同负债,2023-12-31 00:00:00,2333809906.88
688596,正帆科技,balance_yearly,应收票据及应收账款,2023-12-31 00:00:00,1797747071.64
688596,正帆科技,balance_yearly,应收账款,2023-12-31 00:00:00,1536343053.84
